Date,Open,High,Low,Close,Volume,Adj Close
01/03/2000,102,105.5,100.06,100.25,10807800,84.48
02/03/2000,100.5,105.44,99.5,103.12,11192900,86.9
03/03/2000,107.25,110,106.06,108,10162800,91.01
06/03/2000,109.94,111,101,103.06,10747400,86.85
07/03/2000,106,107,101.69,103,10035100,86.8
08/03/2000,103,106.87,102.75,106.25,8376400,89.53
09/03/2000,106.5,108,104.12,108,6334100,91.01
10/03/2000,107.62,109,105,105.25,7093200,88.69
13/03/2000,104,109,102.5,107.69,7871000,90.75
14/03/2000,107.75,110,107.37,108.62,7973700,91.53
15/03/2000,107.5,108.25,106.12,107,5665900,90.17
16/03/2000,109,109.81,107.87,109,6622500,91.85
17/03/2000,108.25,111.69,107.69,110,8857300,92.69
20/03/2000,110,113.37,109.94,112.75,6563500,95.01
21/03/2000,112.81,114.69,111.94,113.5,6771600,95.64
22/03/2000,114.5,115.37,113.87,114.25,6137800,96.28
23/03/2000,115.87,115.87,111.62,115.25,6492400,97.12
24/03/2000,115.37,122.25,115.06,120.62,12125600,101.64
27/03/2000,125,128.25,124.62,126.87,11862900,106.91
28/03/2000,125.75,127,122.06,122.5,8149600,103.23
29/03/2000,122.31,122.44,118.5,119,7312300,100.28
30/03/2000,118.87,123,118.69,122.75,9158000,103.44
31/03/2000,122.62,123.75,117.06,118.37,8015200,99.75
03/04/2000,120,122.37,119.44,122,7715600,102.81
04/04/2000,121.5,126.94,115.06,121.19,16667200,102.12
05/04/2000,120.5,125.75,119.75,125,8693500,105.34
06/04/2000,123.5,128,122.62,122.75,8887400,103.44
07/04/2000,123.5,125.69,121.5,123.12,5380300,103.75
10/04/2000,124.75,125.37,121.56,122.12,5507300,102.91
11/04/2000,121.62,121.62,117.81,119.37,7738700,100.59
12/04/2000,119.62,119.62,111.69,113.75,8885200,95.85
13/04/2000,112.5,114.31,110,110.62,8236400,93.22
14/04/2000,109.81,112.75,102.87,105,11782000,88.48
17/04/2000,103.87,112.25,103.31,111.87,9969500,94.27
18/04/2000,112.25,115.12,110.06,111.5,8205500,93.96
19/04/2000,109.75,109.75,102.81,105,14674500,88.48
20/04/2000,105,105.25,102.06,104,10633300,87.64
24/04/2000,102,107.19,101.25,106.5,8523100,89.75
25/04/2000,106.5,113,106.44,112.5,9576400,94.8
26/04/2000,112.5,113.94,109,110.5,6182800,93.12
27/04/2000,109.5,113.12,108.69,110.62,6317500,93.22
28/04/2000,112,112.69,110.12,111.5,4888600,93.96
01/05/2000,112.5,113.19,110.44,112,4196100,94.38
02/05/2000,111,113.62,110.69,111.37,4085000,93.85
03/05/2000,110.5,111.12,106.56,108.12,5543800,91.11
04/05/2000,109.12,109.19,107.19,107.62,3631300,90.69
05/05/2000,106.62,109.62,106.5,107.87,4695100,90.9
08/05/2000,108.06,110.37,107.62,109.75,4826900,92.6
09/05/2000,110.5,110.62,108.25,109,4864900,91.96
10/05/2000,105.5,105.69,102.06,103,10012700,86.9
11/05/2000,104,107.5,103.19,104.44,8106200,88.12
12/05/2000,103.75,105.75,103.25,104.44,5599700,88.12
15/05/2000,104,104.87,102,104.19,5907800,87.9
16/05/2000,105.12,109.25,105,109,7265800,91.96
17/05/2000,107.5,108.87,106.12,107.87,5524500,91.01
18/05/2000,106.12,107.31,104.69,106.06,4577200,89.48
19/05/2000,106.06,107.5,105,106.44,6419200,89.8
22/05/2000,106,109.25,103.44,109.25,6769400,92.17
23/05/2000,109,110,107.12,107.37,5978900,90.59
24/05/2000,106.5,110,104.19,109.62,8184200,92.49
25/05/2000,110.5,112.25,106.37,106.5,5967600,89.85
26/05/2000,105.5,107.19,104.56,106.94,4296900,90.23
30/05/2000,107.75,111,107.69,110.94,3617500,93.6
31/05/2000,110.5,110.75,107.19,107.31,3732500,90.54
01/06/2000,107.56,108.94,105.5,106,5712500,89.43
02/06/2000,109,109.75,107.62,108.81,5473300,91.8
05/06/2000,108.44,114.19,108.44,112.81,7281400,95.18
06/06/2000,112.25,114.62,111.25,112.37,5369400,94.81
07/06/2000,112.5,121.75,111.5,121,11115500,102.09
08/06/2000,119.37,122.31,117.5,119.75,9325600,101.03
09/06/2000,119.87,120.75,118.87,119.69,4739100,100.98
12/06/2000,119.12,120.44,118.84,118.84,3640300,100.27
13/06/2000,118.87,119.94,116.75,119.31,4008600,100.66
14/06/2000,118.87,120,115.5,116,5282600,97.87
15/06/2000,116,119,115.87,116.81,5386300,98.55
16/06/2000,116.31,117.69,113.25,113.25,8046200,95.55
19/06/2000,113.5,120.37,113.25,120.37,6059200,101.56
20/06/2000,120,120.69,115.37,116.37,7103800,98.18
21/06/2000,115.56,115.94,113.5,114.5,6487000,96.6
22/06/2000,114.12,114.31,111.25,111.81,4853100,94.33
23/06/2000,113.5,113.62,110.81,111.87,3360900,94.38
26/06/2000,113,115.75,112.87,114.41,3625900,96.53
27/06/2000,111.62,112.81,108.75,109.75,6607900,92.6
28/06/2000,110,115.19,109.87,113.78,6436600,96
29/06/2000,111.75,114.37,110.06,114,7688500,96.18
30/06/2000,112.69,113.19,108.62,109.56,8612600,92.44
03/07/2000,108.75,109.87,108.31,109.5,2304400,92.38
05/07/2000,105.62,105.62,101.12,105,14339600,88.59
06/07/2000,105,105.12,100,101.25,12932700,85.42
07/07/2000,102.69,105.06,101.62,105.06,9031700,88.64
10/07/2000,104.69,104.94,102.87,103.31,4212200,87.16
11/07/2000,103.25,104,101,102,5619800,86.06
12/07/2000,103.19,105.87,102.62,104.62,5550500,88.27
13/07/2000,105.44,105.94,102,104,5669700,87.74
14/07/2000,103.75,104.87,103.12,103.94,4020000,87.69
17/07/2000,104.44,107.87,104.19,105.5,6632700,89.01
18/07/2000,104.12,104.81,102.62,103.31,6452700,87.16
19/07/2000,102.37,109.5,101,108.75,7781400,91.75
20/07/2000,112,117.81,111.75,117.25,23048400,98.92
21/07/2000,117,117,113.75,114.75,8966400,96.81
24/07/2000,114.12,115.62,111.62,112.5,6814400,94.92
25/07/2000,113.25,113.37,110.25,112,5566900,94.49
26/07/2000,111,112.37,108.87,109.87,6670400,92.7
27/07/2000,109.87,111.5,109.31,110.31,4047400,93.07
28/07/2000,111.12,112.5,108.87,111.81,5355600,94.33
31/07/2000,110.5,113.69,110.06,112.25,5113500,94.71
01/08/2000,112,112.44,110.25,110.5,2996500,93.23
02/08/2000,111,114.87,110.75,114.25,5877900,96.39
03/08/2000,113,116.5,112.31,116,5567400,97.87
04/08/2000,116,116.5,114.31,115.87,4460500,97.76
07/08/2000,116.62,119,115.81,116.31,5910700,98.13
08/08/2000,115.69,119.62,115.56,118.87,5736700,100.4
09/08/2000,119,120.81,118.75,118.75,6585400,100.3
10/08/2000,118.75,120.25,117.87,119.75,5484100,101.15
11/08/2000,119.75,121.81,119.19,120.62,6142400,101.88
14/08/2000,120,123.69,119.31,123.25,4949400,104.1
15/08/2000,122.06,122.62,120.75,122,4378100,103.05
16/08/2000,121.06,122.94,119.5,122.37,5946000,103.36
17/08/2000,119.75,122.81,119.5,122.5,4338400,103.47
18/08/2000,122.37,123.37,120.12,120.44,4127500,101.73
21/08/2000,121.06,122.19,120.06,121.44,3234200,102.57
22/08/2000,121.19,122.19,121,121.37,2769400,102.51
23/08/2000,120.31,123.75,119.87,123.25,4251200,104.1
24/08/2000,123,125.44,122.69,124.81,5988300,105.42
25/08/2000,124.31,129.88,124.25,129,8279000,108.96
28/08/2000,129.88,133.19,129.75,131.5,8536600,111.07
29/08/2000,131.5,134.25,131,132.88,6040000,112.24
30/08/2000,130.75,131.5,129.56,130.31,4928800,110.07
31/08/2000,131.88,134.19,131.63,132.02,5469500,111.51
01/09/2000,133.06,134.94,132.63,133.63,5776300,112.87
05/09/2000,132.81,133.31,130.81,131.19,4112100,110.81
06/09/2000,130.88,134.88,130.38,131.44,6473000,111.02
07/09/2000,999,134.5,131.88,133.38,4622800,112.66
08/09/2000,132.5,132.94,129.38,129.5,4993700,109.38
11/09/2000,127.87,128.25,123.62,124.5,7617700,105.16
12/09/2000,124.81,126.87,124.06,125,5001700,105.58
13/09/2000,123.12,128.81,122.75,127.69,5473600,107.85
14/09/2000,128,129.19,126.31,126.87,4425500,107.16
